mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940639068288,207864,294260,228720,238494,287739,238077,9.7,-18.3,L
720575940639151679,305240,279708,127400,321513,278824,143945,-10.3,-128.6,L
720575940639164991,279712,351772,177200,302012,338819,192935,-38.1,-50.4,L
720575940639258301,328028,354144,162000,343343,342699,171598,-61,-104.3,L
720575940639318872,241652,236564,166600,263578,239154,185371,23.3,-83.5,L
720575940639373245,199056,252816,235760,230618,250190,245588,25.3,-14.5,L
720575940639399075,264356,188372,167040,280704,196360,185492,46.1,-102.4,L
720575940639496245,281384,304952,140360,303111,299749,159429,-15.3,-96.6,L
720575940639497781,220804,205556,196840,250708,210381,210653,44.8,-56.3,L
720575940639590470,211156,274980,261840,228276,272064,264939,16,6.9,L
720575940639594624,255824,248740,153040,275217,248310,173054,15.4,-95.8,L
720575940639728573,322900,351084,159640,339150,339031,170361,-54.9,-98.2,L
720575940639897203,207588,198788,242840,236557,207227,249674,44.9,-9.7,L
720575940640017717,305776,268208,126960,319908,268288,145094,-4.5,-133.3,L
720575940640037966,297296,203584,146280,308429,210901,160597,26.2,-138.4,L
720575940640156504,226808,275928,256160,230627,270715,258683,20.1,-3.6,L
720575940640179315,242152,347652,244680,265714,333363,248827,-11.6,-11.9,L
720575940640299392,304552,375332,212840,322644,362748,219412,-63.5,-3.3,L
720575940640521357,271168,319220,152160,293846,310075,172145,-18.2,-78.2,L
720575940640674293,272284,246668,141560,287362,250205,162384,11.1,-108.7,L
720575940640732067,320312,330476,142960,336182,322376,158115,-40.8,-112.7,L
720575940640735395,316632,360704,171600,332939,347708,181891,-58.1,-75.8,L
720575940640791203,218416,315900,228160,246734,305508,237195,1.1,-20.7,L
720575940641000400,244860,293164,157920,270684,286571,178647,0.1,-75.3,L
720575940641478864,257360,157588,215280,275538,166883,223644,76.8,-45.5,L
720575940641611739,227832,301656,176680,258996,290338,194270,0.5,-58.7,L
720575940641935861,249496,314376,166600,275259,305565,185747,-10.6,-63.9,L
720575940641947336,276124,225052,144160,292221,227286,163504,22.2,-118.2,L
720575940642102669,315176,351308,160840,333046,338907,173135,-51.8,-88.1,L
720575940642297997,280992,152360,218800,289000,157729,221223,84.8,-174.8,L
720575940642403573,213080,258272,185000,247692,255666,200621,18,-58.5,L
720575940642527707,211832,301732,225080,240845,292432,233300,7.3,-23.1,L
720575940642544091,298928,269656,128080,310832,267394,148367,-1,-124.4,L
720575940643223319,292440,203244,146440,304430,206679,164025,30.7,-132.7,L
720575940643576520,262796,174132,177040,281577,182834,195854,59,-98.2,L
720575940644074144,282648,150388,190200,296545,165444,201138,68.5,-137.3,L
720575940644213028,203544,253520,205000,239020,249871,216877,23,-43,L
720575940644398190,205840,257680,198960,241147,253805,212282,21.1,-46.8,L
720575940644533527,225652,206644,214200,245135,207364,222116,45.8,-38.1,L
720575940644851912,243492,167980,213760,266248,177318,223140,67.1,-40.6,L
